"name","description","url","archived","disabled","sonarFile.organization","sonarFile.projectKey","sonarFile.projectName"
"superapp_mobile","Minha Revenda - Mobile","https://github.com/grupoboticario/superapp_mobile",true,false,"not found",,
"superapp_backend","Minha Revenda - Backend","https://github.com/grupoboticario/superapp_backend",true,false,"gboticario","c70b91ff-8ffc-445b-baff-3639bb8eb9ea","GHE_MinhaRevenda_Backend"
"plataformaagendamento_api","API em Ruby para funcionamento da plataforma de agendamento","https://github.com/grupoboticario/plataformaagendamento_api",true,false,"not found",,
"plataformaagendamento_manager","Sistema de gerenciamento da plataforma de agendamento","https://github.com/grupoboticario/plataformaagendamento_manager",false,false,"not found",,
"plataformaagendamento_whitelabel","Visão do usuário final para a plataforma de agendamento","https://github.com/grupoboticario/plataformaagendamento_whitelabel",true,false,"not found",,
"plataformaagendamento_plugin","Plugin para a inserção da plataforma de agendamento no site de O Boticário","https://github.com/grupoboticario/plataformaagendamento_plugin",false,false,"not found",,
"plataformaagendamento_webhookproxy","Proxy de webhooks para funcionamento da plataforma de agendamento","https://github.com/grupoboticario/plataformaagendamento_webhookproxy",false,false,"not found",,
"superapp_keys","Repositório de chaves para a plataforma do SuperApp.","https://github.com/grupoboticario/superapp_keys",true,false,"not found",,
"mediawiki-web","[Mediawiki] Wiki para compartilhar conhecimento dentro do Grupo Boticário","https://github.com/grupoboticario/mediawiki-web",true,false,"not found",,
"gbweb_frontend","Aplicação web para desktop da aplicação GbWeb que será a extranet dos franqueados","https://github.com/grupoboticario/gbweb_frontend",false,false,"gboticario","d4f056c1-167c-443a-889a-a155700136ed","GHE_Extranet_WFE"
"gbweb_backend","Backend do produto gbweb para a extranet dos franqueados","https://github.com/grupoboticario/gbweb_backend",false,false,"not found",,
"terraform-aws-vpc","Terraform module AWS VPC","https://github.com/grupoboticario/terraform-aws-vpc",false,false,"not found",,
"terraform-aws-apigateway","Modulo terraform para o AWS Api Gateway","https://github.com/grupoboticario/terraform-aws-apigateway",false,false,"not found",,
"terraform-aws-asg","Terraform module aws ASG","https://github.com/grupoboticario/terraform-aws-asg",false,false,"not found",,
"terraform-aws-cloudtrail","Terraform module AWS Cloudtrail","https://github.com/grupoboticario/terraform-aws-cloudtrail",false,false,"not found",,
"terraform-aws-cloudwatchlogs","terraform module AWS CloudWatchLogs","https://github.com/grupoboticario/terraform-aws-cloudwatchlogs",true,false,"not found",,
"tf-aws-module-documentdb","Terraform module AWS DocumentDB","https://github.com/grupoboticario/tf-aws-module-documentdb",false,false,"not found",,
"tf-aws-module-ecr","Terraform module AWS ECR","https://github.com/grupoboticario/tf-aws-module-ecr",false,false,"not found",,
"terraform-aws-eks","Terraform Module AWS EKS","https://github.com/grupoboticario/terraform-aws-eks",false,false,"not found",,
"terraform-aws-keypair","Terraform Module AWS Keypair","https://github.com/grupoboticario/terraform-aws-keypair",false,false,"not found",,
"terraform-aws-organizationaccount","Terraform module AWS Oraganization Account","https://github.com/grupoboticario/terraform-aws-organizationaccount",true,false,"not found",,
"terraform-aws-organizationunit","Terraform Module AWS Organization Unit","https://github.com/grupoboticario/terraform-aws-organizationunit",false,false,"not found",,
"terraform-aws-route53","Terraform Module AWS Route 53","https://github.com/grupoboticario/terraform-aws-route53",false,false,"not found",,
"terraform-aws-scp","Terraform Module AWS SCP","https://github.com/grupoboticario/terraform-aws-scp",false,false,"not found",,
"terraform-aws-sqs","Terraform Module AWS SQS","https://github.com/grupoboticario/terraform-aws-sqs",false,false,"not found",,
"terraform-aws-tgwattachment","Terraform Module AWS TGW Attachment","https://github.com/grupoboticario/terraform-aws-tgwattachment",false,false,"not found",,
"terraform-aws-tgw","Terraform Module AWS TGW","https://github.com/grupoboticario/terraform-aws-tgw",false,false,"not found",,
"terraform-aws-tgwroutes","Terraform Module AWS TGW Routes","https://github.com/grupoboticario/terraform-aws-tgwroutes",false,false,"not found",,
"terraform-aws-production-account-infracore","terraform workspace - AWS production account infracore","https://github.com/grupoboticario/terraform-aws-production-account-infracore",false,false,"not found",,
"terraform-aws-homologation-account-infracore","terraform workspace - aws homologation infracore","https://github.com/grupoboticario/terraform-aws-homologation-account-infracore",false,false,"not found",,
"terraform-aws-development-account-infracore","terraform workspace - aws development account infracore","https://github.com/grupoboticario/terraform-aws-development-account-infracore",false,false,"not found",,
"terraform-aws-sharedservices-account-infracore","terraform workspace - aws shared services account infracore","https://github.com/grupoboticario/terraform-aws-sharedservices-account-infracore",false,false,"not found",,
"terraform-aws-extranet-account-infracore","terraform workspace - projeto extranet","https://github.com/grupoboticario/terraform-aws-extranet-account-infracore",false,false,"not found",,
"terraform-aws-logging-account-infracore","terraform workspace - aws logging account infracore","https://github.com/grupoboticario/terraform-aws-logging-account-infracore",false,false,"not found",,
"terraform-aws-security-account-infracore","terraform workspace - aws security account infracore","https://github.com/grupoboticario/terraform-aws-security-account-infracore",false,false,"not found",,
"madmax-api","API responsável pela aquisição e cadastro de novas intenções de revenda (IR) para o Grupo Boticário (GB).","https://github.com/grupoboticario/madmax-api",false,false,"gboticario","madmax-api","vd-madmax-api"
"tf-aws-module-rds","Terraform module which creates RDS resources on AWS","https://github.com/grupoboticario/tf-aws-module-rds",false,false,"not found",,
"terraform-website-s3-cloudfront-route53","Terraform scripts to setup an S3 based static website, with a CloudFront distribution and the required Route53 entries.","https://github.com/grupoboticario/terraform-website-s3-cloudfront-route53",false,false,"not found",,
"terraform-google-kubernetes-engine","A Terraform module for configuring GKE clusters.","https://github.com/grupoboticario/terraform-google-kubernetes-engine",false,false,"not found",,
"catalogodigital_frontend","Aplicação container que gerencia todos os micro-frontends de venda direta Minha Loja Digital","https://github.com/grupoboticario/catalogodigital_frontend",true,false,"not found",,
"catalogodigital_backend",,"https://github.com/grupoboticario/catalogodigital_backend",true,false,"gboticario","d55b6b50-4389-11ea-b77f-2e728ce88125","GHE_CatalogoDigital_Backend"
"madmax-front","Front-End do site para cadastro da Intenção de Revenda em Eudora e O Boticário.","https://github.com/grupoboticario/madmax-front",false,false,"gboticario","madmax-front","vd-madmax-front"
"whatsapp-infra","repositório clone do Azure DevOps","https://github.com/grupoboticario/whatsapp-infra",true,false,"not found",,
"ecomm_bbx_frontend",,"https://github.com/grupoboticario/ecomm_bbx_frontend",true,false,"not found",,
"ecomm_bbx_backend",,"https://github.com/grupoboticario/ecomm_bbx_backend",true,false,"not found",,
"ecomm_bbx_fielo_backend",,"https://github.com/grupoboticario/ecomm_bbx_fielo_backend",true,false,"not found",,
"ecomm_bbx_myaccount_frontend",,"https://github.com/grupoboticario/ecomm_bbx_myaccount_frontend",true,false,"not found",,
"ecomm_bbx_checkout",,"https://github.com/grupoboticario/ecomm_bbx_checkout",true,false,"not found",,
"ecomm_bbx_assinaturas",,"https://github.com/grupoboticario/ecomm_bbx_assinaturas",true,false,"not found",,
"ecomm_bbxOldStore_backup",,"https://github.com/grupoboticario/ecomm_bbxOldStore_backup",true,false,"not found",,
"ecomm_bot_frontend",,"https://github.com/grupoboticario/ecomm_bot_frontend",true,false,"not found",,
"ecomm_bot_backend",,"https://github.com/grupoboticario/ecomm_bot_backend",true,false,"not found",,
"ecomm_bot_checkout",,"https://github.com/grupoboticario/ecomm_bot_checkout",true,false,"not found",,
"ecomm_bot_finder",,"https://github.com/grupoboticario/ecomm_bot_finder",true,false,"not found",,
"ecomm_bot_emails",,"https://github.com/grupoboticario/ecomm_bot_emails",true,false,"not found",,
"ecomm_qdb_frontend",,"https://github.com/grupoboticario/ecomm_qdb_frontend",true,false,"not found",,
"ecomm_eud_frontend","Eudora - E-commerce","https://github.com/grupoboticario/ecomm_eud_frontend",true,false,"not found",,
"ecomm_bot_upload",,"https://github.com/grupoboticario/ecomm_bot_upload",true,false,"not found",,
"terrraform-aws-quickstart-rancher",,"https://github.com/grupoboticario/terrraform-aws-quickstart-rancher",true,false,"not found",,
"cloudformation-facebook-template","AWS - Cluster ECS + RDS template to create Facebook/Whatsapp infraestructure","https://github.com/grupoboticario/cloudformation-facebook-template",false,false,"not found",,
